MP, MT, MS, Oczekiwana, a, b, BMP, BMT, BMS
3.1415925484068445, 3.1415925484068286, 3.1415926125132034, 3.141592653589793, 0, 0, 1.0518294857320143E-7, 1.0518296456041298E-7, 4.107658968521832E-8
0.33332833334999745, 0.3333333333499996, 0.3333333333333329, 0.3333333333333333, 0, 0, 4.999983335862712E-6, 1.666627946761423E-11, 3.885780586188048E-16
307.8760697438664, 307.8760697438664, 307.8760760262963, 307.8760800517997, 7.0, 14.0, 1.0307933280273573E-5, 1.0307933280273573E-5, 4.02550341505048E-6
204.20351564644588, 204.2035156464444, 204.2035198133607, 204.20352248333654, 5.0, 13.0, 6.836890662498263E-6, 6.836892140427153E-6, 2.669975827984672E-6
47.12388822610203, 47.12388822610243, 47.12388918769806, 47.12388980384689, 15.0, 1.0, 1.5777448609810563E-6, 1.5777444630771242E-6, 6.161488315115093E-7
103.67255409742445, 103.6725540974257, 103.67255621293788, 103.67255756846316, 11.0, 3.0, 3.471038709790264E-6, 3.471037459235049E-6, 1.355525284907344E-6
339.2919952279336, 339.2919952279341, 339.2920021514278, 339.29200658769764, 12.0, 9.0, 1.1359764016560803E-5, 1.1359763561813452E-5, 4.436269819052541E-6
25.132740387254756, 25.13274038725463, 25.132740900105627, 25.132741228718345, 1.0, 8.0, 8.414635885856114E-7, 8.414637164833039E-7, 3.286127174817466E-7
141.37166467830758, 141.37166467830542, 141.37166756309506, 141.3716694115407, 3.0, 15.0, 4.733233112119706E-6, 4.7332352721696225E-6, 1.8484456347778178E-6
75.39822116176347, 75.39822116176414, 75.39822270031847, 75.39822368615503, 2.0, 12.0, 2.5243915615646983E-6, 2.5243908936545267E-6, 9.858365643822253E-7
75.39822116176349, 75.39822116176389, 75.39822270031688, 75.39822368615503, 3.0, 8.0, 2.5243915473538436E-6, 2.5243911494499116E-6, 9.858381559979534E-7
28.27433293566162, 28.27433293566146, 28.27433351261883, 28.274333882308138, 9.0, 1.0, 9.466465193952445E-7, 9.4664667926736E-7, 3.696893067228757E-7
612.6105469393289, 612.6105469393335, 612.6105594400824, 612.6105674500096, 15.0, 13.0, 2.0510680769803002E-5, 2.0510676108642656E-5, 8.009927228158631E-6
175.92918271078318, 175.92918271078082, 175.92918630074072, 175.92918860102841, 8.0, 7.0, 5.890245233786118E-6, 5.8902475927880005E-6, 2.3002876901045965E-6
219.9114783884761, 219.91147838847607, 219.9114828759259, 219.9114857512855, 5.0, 14.0, 7.3628094128253E-6, 7.362809441247009E-6, 2.875359598419891E-6
109.95573919423808, 109.95573919424082, 109.95574143796419, 109.95574287564276, 7.0, 5.0, 3.6814046779909404E-6, 3.6814019352959804E-6, 1.4376785628655853E-6
